East Bay,38.155119,-121.031193
Morro Bay,35.3659445,-120.8499924
Yorba Linda,33.8886259,-117.8131125
California City,35.125801,-117.9859038
Long Beach,33.7700504,-118.1937395
Los Banos,37.0582786,-120.8499151
Turlock,37.4946568,-120.8465941
Jurupa,34.0481575,-117.4486661
Coastside,37.4647875,-122.4327869
Citrus Heights,38.7071247,-121.2810611
Burlingame,37.5778696,-122.34809
Orange Vale,38.6785145,-121.2257818
Dublin San Ramon,37.7102104,-121.938195
Los Angeles,34.0522342,-118.2436849
Camrosa,38.6806264,-121.5166278
El Dorado,38.7426376,-120.4357631
El Centro,32.792,-115.5630514
Milpitas,37.4323341,-121.8995741
Santa Rosa,38.440429,-122.7140548
Westminster,33.7513419,-117.9939921
Poway,32.9628232,-117.0358646
Mid-Peninsula,37.3811413,-122.1206717
Olivenhain,33.0461534,-117.2347581
San Diego,32.715738,-117.1610838
Daly City,37.6879241,-122.4702079
San Lorenzo Valley,37.0611213,-122.0811777
Delano,35.7688425,-119.2470536
Anaheim,33.8352932,-117.9145036
South Tahoe,39.1446803,-120.1762494
Elsinore Valley,33.6930703,-117.3434303
Coachella Valley,33.7666873,-116.3591772
Lake Hemet,33.6670507,-116.6892323
Carmichael,38.617127,-121.3282843
Monte Vista,39.1859279,-120.832535
Pleasanton,37.6624312,-121.8746789
Santa Monica,34.0194543,-118.4911912
Riverside,33.9533487,-117.3961564
Contra Costa,37.8534093,-121.9017954
Imperial,32.8475528,-115.5694391
Antelope Valley,34.7513712,-118.2522977
Irvine Ranch,33.6678819,-117.7664369
Watsonville,36.910231,-121.7568946
San Jose,37.3382082,-121.8863286
Dinuba,36.5432837,-119.3870656
Casitas,34.0716505,-118.2220756
Sacramento,38.5815719,-121.4943996
Rowland,34.0016788,-117.9297854
Folsom,38.6779591,-121.1760583
Chino,34.0122346,-117.688944
Hi-Desert,34.1540399,-116.2480132
Soledad,36.424687,-121.3263187
North Marin,36.6844029,-121.802173
Marin,38.083403,-122.7633036
Shafter,35.5005139,-119.2717761
Windsor,38.5471327,-122.8163802
Indian Wells Valley,35.7027321,-117.6864536
San Francisco,37.7749295,-122.4194155
Brawley,32.9786566,-115.530267
Ontario,34.0633443,-117.6508876
Huntington Beach,33.660297,-117.9992265
Calaveras,38.1960477,-120.6805037
Humboldt Bay,40.7195153,-124.242601
Santa Maria,34.9530337,-120.4357191
Yuba City,39.1404477,-121.6169108
Escondido,33.1192068,-117.086421
Los Angeles County Public Works Waterworks District 29,36.778261,-119.4179324
Placer,39.0915751,-120.8039474
Corona,33.8752935,-117.5664384
Burbank,34.1808392,-118.3089661
Camarillo,34.2163937,-119.0376023
Blythe,33.6177725,-114.5882607
Roseville,38.7521235,-121.2880059
Vista,33.2000368,-117.2425355
West Valley,37.3052272,-121.9871217
Napa,38.2975381,-122.286865
Mission Springs,37.066337,-122.0324623
