Supplier Name,Stage Invoked,Mandatory Restrictions,Reporting Month,Total Monthly Potable Water Production 2014,Total Monthly Potable Water Production 2013,Units,Qualification,Total Population Served,REPORTED Residential Gallons-per-Capita-Day (R-GPCD) (starting in September 2014),Optional - Enforcement Actions,Optional - Implementation,Optional - Recycled Water,Recycled Water Units, CALCULATED Monthly Gallons Month 2014 ,CALCULATED Monthly Gallons Month 2013,CALCULATED R-GPCD 2014 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),CALCULATED R-GPCD 2013 (Values calculated by Water Board staff using methodology available at http://www.waterboards.ca.gov/waterrights/water_issues/programs/drought/docs/ws_tools/guidance_estimate_res_gpcd.pdf),% Residential Use,Comments/Corrections
Adelanto city of,,No,Jun-14,140420360,142664000,G,," 31,765 ",,,,,,140420360,142664000,94.306134,95.81295976,64%,No Correction Needed
Adelanto city of,,No,Jul-14,161590490,154254000,G,," 31,765 ",,,,,,161590490,154254000,137.842941,131.5846311,84%,No Correction Needed
Adelanto city of,,,Aug-14,129515000,151445000,G,," 31,765 ",,,,,,129515000,151445000,94.69826295,110.7329532,72%,No Correction Needed
Adelanto city of,,No,Sep-14,124032544,136663544,G,," 31,765 ",9259,,,,,124032544,136663544,92.41104595,101.8218335,71%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Jul-14,1401.2,1798,MG,"Percent Residential Use is preliminary and is based on May/June 2014 residential consumption figures (Including MFR dedicated landscape irrigation accounts). This number will be updated, if needed, prior to 10/15/2014."," 337,562 ",,"ACWD adopted an Ordinance Declaring a Water Shortage Emergency and Adopting Water Use Regulations, Restrictions and Guidelines (Ordinance) on March 13, 2014. The Ordinance: 1) Limits irrigation to 2 days per week June-Sept, 1 day per week Oct-May. 2) Prohibits excessive run-off from irrigation, hosing down driveways/walkways and other hard surfaces, washing structures except to prep for repair work and the use of hoses without shut-off nozzles. 3) Also prohibits draining and refilling pools except for health and safety reasons, and the use of non-recirculating fountains.  Enforcement includes two written warnings, with possible termination of water service if not corrected, fees for site visits and re-connection charges.  A copy of the Ordinance is available at: www.acwd.org  ","- Enhanced outreach and conservation program in place.   - Enacted a Drought Surcharge on July 21, 2014 (additional charges for use above 16 units for SFR customers and on all usage for other use classifications).  - Over 600 ordinance violation letters h",,,1401200000,1798000000,95.06994271,121.9924044,71%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Aug-14,1326.8,1742.2,MG,"Percent Residential Use is preliminary and is based on June/July 2014 residential consumption figures (Including MFR dedicated landscape irrigation accounts). This number will be updated, if needed, prior to 10/15/2014."," 340,000 ",,Information provided with July 2014 report - no updates at this time.,Information provided with July 2014 report - no updates at this time.,,,1326800000,1742200000,89.37647059,117.3588235,71%,No Correction Needed
Alameda County Water District,Stage 2,Yes,Sep-14,1221,1548,MG,Percent Residential Use is based on Aug/Sept 2013 residential consumption figures (Including MFR dedicated landscape irrigation accounts). We use the two months to capture a complete billing cycle (ACWD bills bi-monthly). ," 340,000 ",80,Information provided with July 2014 report - no updates at this time.,Information provided with July 2014 report - no updates at this time.,,,1221000000,1548000000,80.20294118,101.6823529,67%,DATA CORRECTION
Alco Water Service,CPUC Rule 14.1 Voluntary Conservation,No,Sep-14,128.006,156.049,MG,"Alco Water, in conjunction with its customers, was able to reduce its production by 28MG. This is a reduction of 18% in water produced in September 2014 as compared to the same month in 2013."," 29,141 ",120.7,,,,,128006000,156049000,120.7244627,147.172255,82%,No Correction Needed
Alco Water Service,2,Yes,Aug-14,132.344,148.103,MG,," 29,334 ",,,,,,132344000,148103000,120.6495776,135.0160521,83%,No Correction Needed
Alco Water Service,2,Yes,Jul-14,139.543,149.155,MG,," 29,334 ",,,,,,139543000,149155000,131.0487687,140.0756691,85%,No Correction Needed
